Marca,Modelo,Ano,Combustível,Quilometragem,Cidade,Problema,Custo Estimado
VOLKSWAGEN,JETTA,2006,Diesel,180645,Belo Horizonte,transmissao,1121.51
HONDA,CIVIC,2019,Diesel,173805,Salvador,velas_de_ignicao,124.04
CHEVROLET,ONIX,2014,Diesel,129344,Rio de Janeiro,pastilhas_de_freio,243.29
CHEVROLET,ONIX,2010,Etanol,142832,Curitiba,cambio,4440.62
FORD,FIESTA,2007,Diesel,113226,Curitiba,alinhamento,235.31
FIAT,MOBI,2020,Etanol,99250,Manaus,bateria,776.32
CHEVROLET,ONIX,2006,Diesel,287906,Salvador,cambio,6515.96
HONDA,FIT,2018,Diesel,182058,Curitiba,cambio,3816.29
HONDA,FIT,2022,Gasolina,165404,Manaus,alinhamento,168.06
HONDA,CIVIC,2010,Diesel,171172,Manaus,pastilhas_de_freio,298.41
FORD,FIESTA,2010,Diesel,136016,Manaus,alinhamento,230.12
FORD,FIESTA,2023,Gasolina,48825,Curitiba,superaquecimento_motor,787.28
HONDA,FIT,2020,Etanol,13877,Curitiba,cambio,2319.2
HONDA,FIT,2003,Etanol,129065,Curitiba,superaquecimento_motor,1743.08
FIAT,MOBI,2007,Diesel,108443,Belo Horizonte,superaquecimento_motor,1511.81
HONDA,CIVIC,2023,Etanol,117674,Manaus,transmissao,580.1
HONDA,FIT,2002,Diesel,115074,Belo Horizonte,pastilhas_de_freio,318.22
VOLKSWAGEN,POLO,2021,Gasolina,251881,Rio de Janeiro,superaquecimento_motor,1345.21
FIAT,MOBI,2020,Gasolina,31629,Curitiba,velas_de_ignicao,83.83
CHEVROLET,SPIN,2001,Diesel,154030,Salvador,superaquecimento_motor,1926.47
CHEVROLET,SPIN,2023,Gasolina,277919,São Paulo,bateria,1003.33
VOLKSWAGEN,POLO,2011,Gasolina,165279,Rio de Janeiro,transmissao,956.41
FIAT,TORO,2005,Diesel,262199,São Paulo,velas_de_ignicao,218.24
VOLKSWAGEN,POLO,2001,Diesel,249084,São Paulo,cambio,6810.17
HONDA,FIT,2020,Gasolina,88697,Curitiba,pastilhas_de_freio,181.39
VOLKSWAGEN,POLO,2000,Etanol,163945,Salvador,pastilhas_de_freio,371.16
FIAT,MOBI,2011,Etanol,101505,São Paulo,bateria,1031.64
CHEVROLET,SPIN,2021,Diesel,197277,Manaus,cambio,3543.1
CHEVROLET,SPIN,2011,Diesel,156390,São Paulo,superaquecimento_motor,1524.47
CHEVROLET,ONIX,2016,Etanol,33734,Rio de Janeiro,velas_de_ignicao,96.41
FIAT,MOBI,2009,Gasolina,213299,Salvador,bateria,1390.18
CHEVROLET,ONIX,2015,Etanol,149594,Salvador,velas_de_ignicao,133.94
FIAT,MOBI,2014,Etanol,142728,São Paulo,superaquecimento_motor,1358.93
HONDA,CIVIC,2014,Etanol,146965,Salvador,cambio,4010.27
FIAT,TORO,2018,Etanol,278637,Rio de Janeiro,superaquecimento_motor,1567.14
FIAT,TORO,2011,Diesel,95872,Rio de Janeiro,alinhamento,203.43
CHEVROLET,SPIN,2022,Diesel,169524,Rio de Janeiro,alinhamento,169.55
HONDA,CIVIC,2019,Gasolina,144338,Manaus,superaquecimento_motor,1163.3
FIAT,TORO,2002,Gasolina,116603,Curitiba,transmissao,1064.65
VOLKSWAGEN,JETTA,2004,Gasolina,16940,São Paulo,bateria,968.43
VOLKSWAGEN,POLO,2018,Gasolina,155075,Salvador,alinhamento,189.61
VOLKSWAGEN,JETTA,2006,Etanol,127880,Rio de Janeiro,superaquecimento_motor,1622.38
FIAT,MOBI,2020,Diesel,98408,São Paulo,velas_de_ignicao,100.71
HONDA,FIT,2008,Diesel,296959,São Paulo,bateria,1658.22
HONDA,FIT,2006,Gasolina,161941,Curitiba,cambio,5119.85
FIAT,TORO,2017,Gasolina,49297,Manaus,alinhamento,150.39
VOLKSWAGEN,JETTA,2003,Etanol,60107,Salvador,cambio,4276.27
VOLKSWAGEN,POLO,2013,Etanol,19622,Manaus,transmissao,621.49
VOLKSWAGEN,POLO,2017,Gasolina,292552,Salvador,bateria,1275.63
HONDA,CIVIC,2008,Diesel,139909,Rio de Janeiro,bateria,1221.97
CHEVROLET,SPIN,2020,Diesel,146479,Rio de Janeiro,pastilhas_de_freio,208.36
VOLKSWAGEN,JETTA,2001,Diesel,160381,São Paulo,velas_de_ignicao,195.34
VOLKSWAGEN,JETTA,2019,Gasolina,93190,Salvador,transmissao,633.47
FORD,FIESTA,2014,Diesel,252356,Salvador,transmissao,1043.34
CHEVROLET,ONIX,2006,Etanol,217984,Manaus,cambio,5740.99
HONDA,CIVIC,2011,Etanol,370,Rio de Janeiro,transmissao,617.43
FORD,KA,2007,Gasolina,262630,Belo Horizonte,velas_de_ignicao,208.25
CHEVROLET,ONIX,2014,Etanol,285906,São Paulo,transmissao,1106.71
CHEVROLET,SPIN,2002,Gasolina,26613,Salvador,pastilhas_de_freio,250.4
FORD,FIESTA,2013,Diesel,243876,Curitiba,alinhamento,264.38
FIAT,MOBI,2016,Diesel,3196,Curitiba,velas_de_ignicao,87.59
CHEVROLET,ONIX,2003,Diesel,226009,Belo Horizonte,transmissao,1315.02
HONDA,FIT,2017,Etanol,8572,Rio de Janeiro,superaquecimento_motor,863.57
CHEVROLET,SPIN,2007,Gasolina,45853,Rio de Janeiro,alinhamento,196.94
CHEVROLET,SPIN,2003,Diesel,163347,Rio de Janeiro,cambio,5502.25
CHEVROLET,SPIN,2001,Gasolina,116074,Manaus,bateria,1358.02
FORD,KA,2005,Diesel,43209,Curitiba,velas_de_ignicao,133.23
FORD,FIESTA,2021,Etanol,94244,Rio de Janeiro,superaquecimento_motor,960.97
VOLKSWAGEN,POLO,2009,Etanol,232067,Curitiba,bateria,1441.01
HONDA,FIT,2003,Gasolina,253516,Belo Horizonte,superaquecimento_motor,2248.66
CHEVROLET,ONIX,2021,Etanol,208472,São Paulo,transmissao,762.71
CHEVROLET,SPIN,2017,Etanol,100300,Manaus,velas_de_ignicao,112.03
